,true_labels,predicted_labels
29155,5,0
12299,1,5
28304,5,5
22716,3,3
1398,0,0
15904,2,2
22629,3,3
20993,3,3
27096,5,0
31523,6,6
3445,0,0
1555,0,0
12487,1,1
9477,1,1
29770,6,6
26125,4,2
31619,6,3
1255,0,0
15526,2,2
1588,0,0
20038,3,3
843,0,0
30151,6,0
15569,2,2
19138,2,2
29729,5,1
27199,5,0
10594,1,1
24448,3,3
2893,0,0
2527,0,0
32459,6,6
14285,1,2
18846,2,2
13259,1,1
27875,5,5
7278,0,0
14143,1,1
14100,1,1
13377,1,1
7981,0,0
31228,6,6
5040,0,0
10087,1,1
20158,3,3
29602,5,5
3517,0,0
11031,1,1
12890,1,1
18123,2,2
26972,5,5
5576,0,0
25347,4,3
18941,2,1
30281,6,2
23402,3,3
30135,6,3
22234,3,0
15741,2,2
3776,0,0
8731,1,1
3834,0,0
25644,4,3
14784,2,3
6206,0,0
22311,3,3
10019,1,2
6202,0,0
26804,5,5
20785,3,3
14514,2,1
3578,0,0
4084,0,0
26452,5,0
10276,1,1
28291,5,5
21348,3,3
3160,0,0
11598,1,1
19207,2,2
6214,0,0
10814,1,1
13143,1,1
16070,2,2
32528,6,6
7486,0,0
31353,6,6
23860,3,2
7508,0,0
20776,3,3
23231,3,3
29271,5,5
16115,2,2
14446,2,2
10133,1,1
13538,1,1
27496,5,0
18729,2,2
22946,3,3
7161,0,0
11915,1,1
13344,1,3
13078,1,3
27574,5,5
3246,0,0
15763,2,2
13691,1,1
21405,3,3
27004,5,5
7955,0,0
26579,5,5
32236,6,0
13206,1,1
19696,3,3
3242,0,0
14370,1,1
15291,2,2
12351,1,1
20988,3,3
9555,1,1
31943,6,3
24319,3,3
14148,1,1
14766,2,1
25513,4,3
31412,6,3
8180,0,0
18413,2,2
28355,5,5
30575,6,3
11854,1,1
27627,5,5
11204,1,1
10365,1,1
28332,5,5
369,0,0
216,0,0
32226,6,6
25913,4,2
19712,3,3
31315,6,6
24931,4,2
25652,4,4
26868,5,0
14406,1,1
2406,0,0
31917,6,6
14399,1,1
2001,0,0
2213,0,0
21430,3,3
2772,0,0
29616,5,0
1923,0,0
3068,0,0
25704,4,4
9124,1,1
26493,5,5
2497,0,0
14084,1,1
3580,0,0
2842,0,0
31652,6,2
19408,3,3
20782,3,3
9320,1,1
23350,3,3
18136,2,3
31684,6,1
24880,4,4
12528,1,1
19984,3,3
10463,1,1
18669,2,3
6290,0,0
17202,2,3
2622,0,0
19144,2,2
10572,1,1
19659,3,3
8494,1,1
27184,5,5
32154,6,6
7760,0,0
1023,0,2
18308,2,3
3732,0,0
28636,5,5
23512,3,3
13981,1,1
6291,0,0
196,0,0
29491,5,0
21068,3,3
18251,2,2
12804,1,1
23516,3,3
13061,1,1
2518,0,0
23791,3,3
6753,0,0
20727,3,3
32580,6,6
20484,3,3
20838,3,3
20910,3,3
25002,4,4
16189,2,2
14145,1,1
20752,3,3
29114,5,5
22799,3,3
22095,3,3
12195,1,1
18675,2,2
31011,6,3
20367,3,3
8925,1,1
28064,5,5
14829,2,2
5096,0,0
31378,6,6
19398,3,3
3282,0,0
15260,2,2
10924,1,1
10269,1,1
27308,5,5
18586,2,2
4847,0,0
10272,1,1
23353,3,3
24266,3,3
9384,1,0
21235,3,3
3619,0,0
10925,1,1
10075,1,3
29255,5,5
10533,1,1
23039,3,3
24947,4,4
10563,1,1
3286,0,0
2140,0,0
20035,3,3
14795,2,2
28116,5,5
10124,1,1
1278,0,0
26356,4,4
22606,3,3
17854,2,2
23334,3,3
1377,0,0
3193,0,0
26179,4,2
9378,1,1
27265,5,0
14649,2,3
28910,5,5
27744,5,5
22197,3,3
11900,1,1
21002,3,3
18363,2,2
21570,3,3
6725,0,0
6169,0,1
19676,3,3
8769,1,1
23194,3,3
22021,3,2
3592,0,0
11057,1,1
2286,0,0
19726,3,3
29066,5,5
11402,1,1
16408,2,2
17975,2,2
3639,0,0
22962,3,6
29131,5,0
17287,2,2
345,0,0
7071,0,0
29039,5,0
21417,3,3
585,0,0
10643,1,1
17372,2,2
3507,0,0
18512,2,2
12801,1,1
24225,3,3
20798,3,3
18421,2,1
13151,1,1
16688,2,2
24689,4,4
21003,3,3
17701,2,2
28826,5,0
28872,5,5
17666,2,3
31956,6,3
28364,5,5
19039,2,2
31344,6,3
19051,2,2
4519,0,0
11773,1,1
25224,4,4
19444,3,0
28324,5,5
17406,2,2
24479,3,3
25508,4,0
25013,4,4
83,0,0
24863,4,1
